"branch_id","branch_name","branch_desc"
"8800",สาขาประจวบคีรีขันธ์,สาขาประจวบคีรีขันธ์
"8900",สาขาชุมพร,สาขาชุมพร
"8901",สาขาย่อยหลังสวน,สาขาย่อยหลังสวน
"9000",สาขาลำพูน,สาขาลำพูน
"9100",สาขาระนอง,สาขาระนอง
"9200",สาขาลพบุรี,สาขาลพบุรี
"9300",สาขาร้อยเอ็ด,สาขาร้อยเอ็ด
"9400",สาขานครนายก,สาขานครนายก
"9500",สาขาตราด,สาขาตราด
"9700",สาขากระบี่,สาขากระบี่
"10100",สาขาแม่ฮ่องสอน,สาขาแม่ฮ่องสอน
"10200",สาขาบ้านฉาง,สาขาบ้านฉาง
"10400",สาขาอุทัยธานี,สาขาอุทัยธานี
"10500",สาขาชัยนาท,สาขาชัยนาท
"10600",สาขาถนนจอมพล,สาขาถนนจอมพล
"10700",สาขาหนองคาย,สาขาหนองคาย
"10900",สาขาย่อยอำนาจเจริญ,สาขาย่อยอำนาจเจริญ
"11000",สาขาศรีสะเกษ,สาขาศรีสะเกษ
"11100",สาขาหัวหมากทาวน์ฯ,สาขาหัวหมากทาวน์ฯ
"11200",สาขานครพนม,สาขานครพนม
"11300",สาขามุกดาหาร,สาขามุกดาหาร
"11400",สาขาบ่อวิน,สาขาบ่อวิน
"11500",สาขาถนนโรจนะ,สาขาถนนโรจนะ
"11600",สาขาสัมมากร เพลส รามคำแหง 110,สาขาสัมมากร เพลส รามคำแหง 110
"11700",สาขาอาคารชินวัตร 3,สาขาอาคารชินวัตร 3
"11800",สาขาวงศ์สว่างทาวน์ฯ,สาขาวงศ์สว่างทาวน์ฯ
"11900",สาขาสิงห์บุรี,สาขาสิงห์บุรี
"12000",สาขาธัญญะช็อปปิ้ง,สาขาธัญญะช็อปปิ้ง
"12100",สาขาบ้านโป่ง,สาขาบ้านโป่ง
"12200",สาขาหัวหิน,สาขาหัวหิน
"12300",สาขาสมุทรสงคราม,สาขาสมุทรสงคราม
"12302",เคาน์เตอร์การเงินอัมพวา,เคาน์เตอร์การเงินอัมพวา
"12400",สาขาเซ็นทรัล อุดร,สาขาเซ็นทรัล อุดร
"12500",สาขาเกาะสมุย,สาขาเกาะสมุย
"12900",สาขาพังงา,สาขาพังงา
"13100",สาขานราธิวาส,สาขานราธิวาส
"13200",สาขาสตูล,สาขาสตูล
"13500",สาขาสระแก้ว,สาขาสระแก้ว
"14900",สาขาหนองบัวลำภู,สาขาหนองบัวลำภู
"16500",สาขาสงขลา,สาขาสงขลา
"19800",สาขา FDR,สาขา FDR
